Country Name,2018 HDI value,2019 HDI value,2020 HDI value,2021 HDI value,Life expectancy at birth in years (2021),Expected years of schooling in years (2021),Mean years of schooling in years (2021),Gross national income (GNI) per capita (2021)
Brunei,0.83,0.83,0.83,0.829,74.6,14.0,9.2,64490.0
Cambodia,0.591,0.598,0.596,0.593,69.6,11.5,5.1,4079.0
Indonesia,0.71,0.716,0.709,0.705,67.6,13.7,8.6,11466.0
Laos,0.607,0.61,0.608,0.607,68.1,10.1,5.4,7700.0
Malaysia,0.807,0.81,0.806,0.803,74.9,13.3,10.6,26658.0
Myanmar,0.59,0.598,0.6,0.585,65.7,10.9,6.4,3851.0
Philippines,0.71,0.718,0.71,0.699,69.3,13.1,9.0,8920.0
Singapore,0.94,0.943,0.939,0.939,82.8,16.5,11.9,90919.0
Thailand,0.795,0.804,0.802,0.8,78.7,15.9,8.7,17030.0
Vietnam,0.697,0.703,0.71,0.703,73.6,13.0,8.4,7867.0
