Country Name,Country Code,2019
New Zealand,NZL,1.0
Singapore,SGP,2.0
"Hong Kong SAR, China",HKG,3.0
Denmark,DNK,4.0
"Korea, Rep.",KOR,5.0
United States,USA,6.0
Georgia,GEO,7.0
United Kingdom,GBR,8.0
Norway,NOR,9.0
Sweden,SWE,10.0
Lithuania,LTU,11.0
Malaysia,MYS,12.0
Mauritius,MUS,13.0
Australia,AUS,14.0
United Arab Emirates,ARE,16.0
North Macedonia,MKD,17.0
Estonia,EST,18.0
Latvia,LVA,19.0
Finland,FIN,20.0
Thailand,THA,21.0
Germany,DEU,22.0
Canada,CAN,23.0
Ireland,IRL,24.0
Kazakhstan,KAZ,25.0
Iceland,ISL,26.0
Austria,AUT,27.0
Azerbaijan,AZE,28.0
Russian Federation,RUS,29.0
Japan,JPN,30.0
Spain,ESP,31.0
China,CHN,32.0
France,FRA,33.0
Turkiye,TUR,34.0
Israel,ISR,35.0
Switzerland,CHE,36.0
Slovenia,SVN,37.0
Rwanda,RWA,38.0
Portugal,PRT,39.0
Poland,POL,40.0
Czechia,CZE,41.0
Netherlands,NLD,42.0
Bahrain,BHR,43.0
Serbia,SRB,44.0
Slovak Republic,SVK,45.0
Belgium,BEL,46.0
Armenia,ARM,47.0
Moldova,MDA,48.0
Belarus,BLR,49.0
Montenegro,MNE,50.0
Croatia,HRV,51.0
Hungary,HUN,52.0
Morocco,MAR,53.0
Cyprus,CYP,54.0
Romania,ROU,55.0
Kenya,KEN,56.0
Kosovo,XKX,57.0
Italy,ITA,58.0
Chile,CHL,59.0
Mexico,MEX,60.0
Bulgaria,BGR,61.0
India,IND,62.0
Saudi Arabia,SAU,63.0
Ukraine,UKR,64.0
Puerto Rico,PRI,65.0
Brunei,BRN,66.0
Colombia,COL,67.0
Oman,OMN,68.0
Uzbekistan,UZB,69.0
Vietnam,VNM,70.0
Jamaica,JAM,71.0
Luxembourg,LUX,72.0
Indonesia,IDN,73.0
Costa Rica,CRI,74.0
Jordan,JOR,75.0
Peru,PER,76.0
Qatar,QAT,77.0
Tunisia,TUN,78.0
Greece,GRC,79.0
Kyrgyz Republic,KGZ,80.0
Mongolia,MNG,81.0
Albania,ALB,82.0
Kuwait,KWT,83.0
South Africa,ZAF,84.0
Zambia,ZMB,85.0
Panama,PAN,86.0
Botswana,BWA,87.0
Malta,MLT,88.0
Bhutan,BTN,89.0
Bosnia and Herzegovina,BIH,90.0
El Salvador,SLV,91.0
San Marino,SMR,92.0
St. Lucia,LCA,93.0
Nepal,NPL,94.0
Philippines,PHL,95.0
Guatemala,GTM,96.0
Togo,TGO,97.0
Samoa,WSM,98.0
Sri Lanka,LKA,99.0
Seychelles,SYC,100.0
Uruguay,URY,101.0
Fiji,FJI,102.0
Tonga,TON,103.0
Namibia,NAM,104.0
Trinidad and Tobago,TTO,105.0
Tajikistan,TJK,106.0
Vanuatu,VUT,107.0
Pakistan,PAK,108.0
Malawi,MWI,109.0
Cote d'Ivoire,CIV,110.0
Dominica,DMA,111.0
Djibouti,DJI,112.0
Antigua and Barbuda,ATG,113.0
"Egypt, Arab Rep.",EGY,114.0
Dominican Republic,DOM,115.0
Uganda,UGA,116.0
West Bank and Gaza,PSE,117.0
Ghana,GHA,118.0
"Bahamas, The",BHS,119.0
Papua New Guinea,PNG,120.0
Eswatini,SWZ,121.0
Lesotho,LSO,122.0
Senegal,SEN,123.0
Brazil,BRA,124.0
Paraguay,PRY,125.0
Argentina,ARG,126.0
"Iran, Islamic Rep.",IRN,127.0
Barbados,BRB,128.0
Ecuador,ECU,129.0
St. Vincent and the Grenadines,VCT,130.0
Nigeria,NGA,131.0
Niger,NER,132.0
Honduras,HND,133.0
Guyana,GUY,134.0
Belize,BLZ,135.0
Solomon Islands,SLB,136.0
Cabo Verde,CPV,137.0
Mozambique,MOZ,138.0
St. Kitts and Nevis,KNA,139.0
Zimbabwe,ZWE,140.0
Tanzania,TZA,141.0
Nicaragua,NIC,142.0
Lebanon,LBN,143.0
Cambodia,KHM,144.0
Palau,PLW,145.0
Grenada,GRD,146.0
Maldives,MDV,147.0
Mali,MLI,148.0
Benin,BEN,149.0
Bolivia,BOL,150.0
Burkina Faso,BFA,151.0
Mauritania,MRT,152.0
Marshall Islands,MHL,153.0
Laos,LAO,154.0
"Gambia, The",GMB,155.0
Guinea,GIN,156.0
Algeria,DZA,157.0
"Micronesia, Fed. Sts.",FSM,158.0
Ethiopia,ETH,159.0
Comoros,COM,160.0
Madagascar,MDG,161.0
Suriname,SUR,162.0
Sierra Leone,SLE,163.0
Kiribati,KIR,164.0
Myanmar,MMR,165.0
Burundi,BDI,166.0
Cameroon,CMR,167.0
Bangladesh,BGD,168.0
Gabon,GAB,169.0
Sao Tome and Principe,STP,170.0
Sudan,SDN,171.0
Iraq,IRQ,172.0
Afghanistan,AFG,173.0
Guinea-Bissau,GNB,174.0
Liberia,LBR,175.0
Syrian Arab Republic,SYR,176.0
Angola,AGO,177.0
Equatorial Guinea,GNQ,178.0
Haiti,HTI,179.0
"Congo, Rep.",COG,180.0
Timor-Leste,TLS,181.0
Chad,TCD,182.0
"Congo, Dem. Rep.",COD,183.0
Central African Republic,CAF,184.0
South Sudan,SSD,185.0
Libya,LBY,186.0
"Yemen, Rep.",YEM,187.0
"Venezuela, RB",VEN,188.0
Eritrea,ERI,189.0
Somalia,SOM,190.0
