,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malaysia,56.4,56.6,56.8,56.9,58.2,58.9,59.4,57.1,57.3,57.2,57.5,63.8,46.6,47.0,47.6,48.0,48.4,48.0,
Thailand,,,,,76.0,,78.2,77.9,83.9,81.0,81.0,80.3,80.4,78.5,82.2,85.5,69.5,71.7,
Singapore,,,,,,,,,,,,72.1,72.2,72.3,72.2,71.7,71.6,70.4,
Vietnam,,,,,39.2,42.1,44.4,45.1,46.8,46.4,45.2,44.2,44.2,44.3,38.1,38.0,37.5,,
Philippines,,,,66.8,64.7,61.2,63.2,62.3,61.0,64.9,63.7,62.8,61.6,63.3,62.8,63.2,62.4,62.7,64.7
Sri Lanka,,,,,,,,,,,75.1,38.7,41.6,40.8,37.7,32.4,,,
Bangladesh,,,,,,,,,,,85.9,,,,,,,,
Brunei,,,,,,,,59.4,,,,,55.1,56.5,57.3,57.7,55.6,,
Cambodia,,,,,,,74.8,,72.0,,,71.8,,,,,,,
Indonesia,,,,,,,,97.3,97.3,97.2,97.2,97.0,96.7,97.0,96.8,97.0,96.9,,
Laos,,,,87.4,,,,,,,82.9,,,,,82.4,,,
