,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malaysia,,,,,750.0,657.0,612.0,179.0,300.0,369.0,416.0,425.0,324.0,366.0,306.0,335.0,367.0,327.0,
Philippines,,,,,,,141.0,136.0,176.0,215.0,192.0,2918.0,6582.0,7684.0,8084.0,10013.0,12024.0,4876.0,
Singapore,,,,,,,,6259.0,7273.0,9245.0,9210.0,9374.0,9372.0,8675.0,9613.0,9712.0,10921.0,10650.0,
Thailand,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,,,,1252.0,1396.0,1750.0,2166.0,2505.0,2827.0,3236.0,3786.0,4212.0,3270.0,3995.0,
Sri Lanka,,,,,977.0,1135.0,1866.0,2393.0,3410.0,3709.0,4230.0,4894.0,5815.0,6718.0,7253.0,6611.0,6608.0,6247.0,
Bangladesh,,,,,,,,,,3364.0,4431.0,5226.0,5713.0,6743.0,7448.0,7896.0,7912.0,7892.0,
Brunei,,,,,,,,1095.0,1201.0,1402.0,1430.0,1531.0,1331.0,1159.0,1174.0,1134.0,1139.0,1180.0,
Cambodia,,,,,154.0,277.0,299.0,426.0,642.0,886.0,1317.0,1791.0,3107.0,3250.0,4395.0,5586.0,7475.0,7084.0,
Indonesia,,,,,,,,,,,,,,31492.0,33366.0,32980.0,36199.0,30343.0,
Laos,,,,,,,,6.0,12.0,13.0,57.0,53.0,103.0,179.0,265.0,564.0,686.0,583.0,
