,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malaysia,,,,,,,,2.2,,,,,7.3,,,,,4.9,
Singapore,,,,,,,,,,,,,1.4,0.6,2.5,3.3,3.7,2.8,
Sri Lanka,,,,,,,,,,,,,,3.13,4.65,,,,
Thailand,,,,,3.3,19.5,2.4,0.6,-9.2,3.2,1.2,0.8,1.1,8.6,1.3,1.0,1.1,-1.0,
Vietnam,,,,,19.6,29.8,23.6,18.2,16.4,6.9,9.4,7.9,10.0,14.2,9.9,9.1,9.6,,
Philippines,,,,0.1,-2.9,2.5,-0.3,5.4,15.2,-0.4,0.6,-4.9,1.7,1.0,8.4,-0.3,-4.3,12.9,
Brunei,,,,,,,,,,,,,-3.3,9.0,2.7,0.6,1.3,,
Cambodia,,,,,,,,,23.0,,,10.9,,,,,,,
Indonesia,,,,,,,,2.5,2.6,2.0,2.4,2.4,2.4,4.0,2.1,2.0,1.9,,
Laos,,,,,,,,,,,-1.7,,,,,0.05,,,
