,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malaysia,,,,,37231.0,41626.0,40178.0,43823.0,54025.0,60554.0,66977.0,74463.0,70263.0,72254.0,73402.0,73756.0,67195.0,76019.0,
Philippines,,,,,,5697.0,5563.0,7097.0,8006.0,9324.0,8894.0,9529.0,9788.0,9975.0,10660.0,10957.0,11604.0,10304.3,
Singapore,,,,,,,,36057.0,43722.0,49446.0,52756.0,56149.0,53765.0,53919.0,60352.0,57301.0,64016.0,68398.0,
Thailand,,,,,77867.0,83091.0,75400.0,113428.0,140105.0,148846.0,166745.0,168090.0,174449.0,172698.0,185278.0,203029.0,211978.0,168892.0,
Viet Nam,,,,,,,,,,,,,,,,,,78605.0,
Sri Lanka,,,,,,,,,,,,,,,,,,3986.0,
Bangladesh,,,,,,,,9478.0,9594.0,12237.0,14445.0,16904.0,18260.0,21024.0,23295.0,21273.0,24638.0,26802.0,
Brunei,,,,,,,,,,,,,,,,2.4,6.7,,
Indonesia,,,,,,,,,50525.0,54436.0,49949.0,61359.0,57301.0,63784.0,69559.0,71310.0,79947.0,77365.0,
Laos,,,,,,,,,,,,,1831.0,1710.0,1922.0,1669.0,1592.0,1696.0,
