,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malaysia,99.2,,,,,,,98.5,,,,,98.5,,,,,97.2,
Singapore,,,,,,,,,,,,99.5,99.4,99.5,99.5,99.5,99.5,99.5,
Sri Lanka,,,,,,,,,,,99.8,94.7,94.9,94.4,93.7,93.9,,,
Thailand,,,,,99.6,99.7,99.8,99.6,99.8,97.2,97.2,99.7,99.7,99.7,99.8,99.8,99.5,99.5,
Vietnam,,,,,96.3,97.0,97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.0,97.1,97.2,97.4,,
Philippines,,,,99.7,99.7,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.5,99.6,99.6,99.5,99.5,99.5,99.6
Bangladesh,,,,,,,,,,,99.97,,,,,,,,
Brunei,,,,,,,,97.5,,,,,96.6,97.0,97.2,97.3,97.3,,
Cambodia,,,,,,,99.8,,99.8,,,99.8,,,,,,,
Indonesia,,,,,,,,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,,
Laos,,,,99.8,,,,,,,99.8,,,,,99.8,,99.8,
