"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.6176470588235","71.6428571428571","66.7708333333333","60.0625","54.4375","47.7708333333333","46.5208333333333","43.7291666666667","37.3958333333333","35.4","33.12","32.32","32.0384615384615","31.5769230769231","29.2884615384615","27.8269230769231","26.8269230769231","","","",
"Afghanistan","AFG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.5","9.5","9.5","10.5","10.5","9.5","9.5","9.5","9.5","6.5","8.5","8.5","8.5","8.5","8.5","8.5","","","",
"Africa Western and Central","AFW","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4","43.8","59.525","59.8333333333333","55.8333333333333","54.9523809523809","50.8095238095238","49.8095238095238","37.6190476190476","35.7619047619048","29.3318181818182","25.4227272727273","25.1727272727273","24.2","17.9045454545455","17.7454545454545","15.2590909090909","","","",
"Angola","AGO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","83","83","83","83","68","68","66","66","66","66","66","36","36","36","36","36","","","",
"Albania","ALB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","40","41","39","37","10","6","6","6","5","5","5","5","5","5","4.5","4.5","","","",
"Andorra","AND","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5692307692308","42.24375","39.7166666666667","38.4944444444444","32.175","22.27","21.615","21.64","21.085","21.8428571428571","20.6095238095238","19.6142857142857","22.2","23.3090909090909","21.5590909090909","20.6727272727273","19.6545454545455","","","",
"United Arab Emirates","ARE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","19.3","19.3","19.3","18.3","18.2","15.2","15.2","13.2","8.2","8.3","8.3","8.3","8.3","8.3","3.8","3.8","","","",
"Argentina","ARG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.5","29.5","29.5","29.5","29.5","30","25","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","11","11.5","","","",
"Armenia","ARM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","17","17","17","14","14","8","8","5","5","5","5","5","4","4","","","",
"American Samoa","ASM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","22","22","22","22","22","22","22","22","22","22","22","22","22","19","","","",
